x,y
-100.0,-1020096.026286776
-99.93331110370123,-1018075.0397989223
-99.86662220740247,-1016045.370316134
-99.7999333111037,-1014017.6684013687
-99.73324441480493,-1012013.7075792981
-99.66655551850617,-1009998.3682767791
-99.5998666222074,-1007971.1996446077
-99.53317772590863,-1005967.7075929354
-99.46648882960987,-1003970.2903675658
-99.3997999333111,-1001957.5535923542
-99.33311103701234,-999963.6311334289
-99.26642214071357,-997964.3477885
-99.1997332444148,-995962.0510707289
-99.13304434811604,-993985.3227095776
-99.06635545181727,-991992.5086097308
-98.9996665555185,-989994.5616879297
-98.93297765921974,-988012.179698902
-98.86628876292097,-986018.2344955832
-98.7995998666222,-984047.3400736576
-98.73291097032345,-982073.3559204218
-98.66622207402467,-980074.9663338083
-98.5995331777259,-978115.7824113464
-98.53284428142715,-976143.369516566
-98.46615538512837,-974187.888353675
-98.3994664888296,-972216.0713611274
-98.33277759253085,-970248.6983753673
-98.26608869623207,-968299.3049075084
-98.19939979993332,-966330.2425440409
-98.13271090363455,-964383.8425939425
-98.06602200733577,-962429.7967980374
-97.99933311103702,-960483.3372923769
-97.93264421473825,-958517.3986537097
-97.86595531843948,-956588.6491654008
-97.79926642214072,-954655.9564726057
-97.73257752584195,-952702.4955330447
-97.66588862954318,-950783.0494787486
-97.59919973324442,-948838.4426084802
-97.53251083694565,-946925.2438368488
-97.46582194064688,-944992.2653142362
-97.39913304434812,-943054.7568977588
-97.33244414804935,-941127.7328490628
-97.26575525175059,-939212.1934822099
-97.19906635545182,-937297.0267346179
-97.13237745915305,-935383.6589914091
-97.06568856285429,-933480.8366652825
-96.99899966655552,-931565.1335050142
-96.93231077025675,-929656.0322784183
-96.86562187395799,-927739.4669827039
-96.79893297765922,-925843.3544022623
-96.73224408136045,-923960.9878741325
-96.66555518506169,-922047.6701221346
-96.59886628876292,-920159.3199502651
-96.53217739246415,-918270.2266437317
-96.46548849616539,-916371.083531145
-96.39879959986662,-914481.4865374638
-96.33211070356785,-912598.6320237844
-96.26542180726909,-910731.7320953655
-96.19873291097032,-908849.0147244203
-96.13204401467155,-906967.9983884309
-96.06535511837279,-905089.5346260126
-95.99866622207402,-903230.4441132009
-95.93197732577526,-901359.9471849452
-95.8652884294765,-899501.7414687653
-95.79859953317772,-897639.4652202587
-95.73191063687896,-895762.9742618747
-95.6652217405802,-893900.7757927503
-95.59853284428142,-892056.9236022579
-95.53184394798267,-890195.6098506328
-95.4651550516839,-888350.602622814
-95.39846615538512,-886511.0794913603
-95.33177725908637,-884658.0136363432
-95.2650883627876,-882806.148442516
-95.19839946648882,-880978.8471636618
-95.13171057019007,-879128.709333288
-95.0650216738913,-877327.4066978797
-94.99833277759254,-875467.650319295
-94.93164388129377,-873643.8587332806
-94.864954984995,-871819.8277277836
-94.79826608869624,-869992.1313510216
-94.73157719239747,-868186.7431863478
-94.6648882960987,-866353.1228579173
-94.59819939979994,-864531.5753004566
-94.53151050350117,-862708.2178577577
-94.4648216072024,-860912.3362922654
-94.39813271090364,-859105.345731506
-94.33144381460487,-857296.1162433976
-94.2647549183061,-855480.5383471198
-94.19806602200734,-853683.5241252866
-94.13137712570857,-851891.2161994288
-94.0646882294098,-850086.2255959447
-93.99799933311104,-848295.4365870452
-93.93131043681227,-846496.8715944085
-93.8646215405135,-844721.1690212822
-93.79793264421474,-842931.628251652
-93.73124374791597,-841148.1189138441
-93.66455485161721,-839375.18421898
-93.59786595531844,-837582.1183650328
-93.53117705901967,-835805.9255104485
-93.46448816272091,-834034.013288315
-93.39779926642214,-832264.4829747856
-93.33111037012337,-830504.9913842574
-93.26442147382461,-828730.6040008011
-93.19773257752584,-826966.0574739872
-93.13104368122707,-825208.3156158263
-93.06435478492831,-823444.2722638088
-92.99766588862954,-821683.3353127716
-92.93097699233078,-819917.563355439
-92.86428809603201,-818179.8389451228
-92.79759919973324,-816430.2537118745
-92.73091030343448,-814686.4822725429
-92.66422140713571,-812957.3017284395
-92.59753251083694,-811200.719006949
-92.53084361453818,-809461.0690956655
-92.46415471823941,-807705.3759664585
-92.39746582194064,-805992.6369021477
-92.33077692564189,-804257.185112263
-92.26408802934311,-802530.8562476751
-92.19739913304434,-800813.3888467214
-92.13071023674559,-799070.8357356383
-92.06402134044681,-797352.3779969004
-91.99733244414804,-795632.95481631
-91.93064354784929,-793929.9204704097
-91.86395465155051,-792197.2562237722
-91.79726575525174,-790507.9957232972
-91.73057685895299,-788782.8557440703
-91.66388796265421,-787063.2622117727
-91.59719906635544,-785384.4091937154
-91.53051017005669,-783679.1763421068
-91.46382127375792,-781974.4700377675
-91.39713237745916,-780282.3747940462
-91.33044348116039,-778596.2887085361
-91.26375458486162,-776891.3262021563
-91.19706568856286,-775210.8175535683
-91.13037679226409,-773511.4261357961
-91.06368789596532,-771837.9155744206
-90.99699899966656,-770135.9537849783
-90.93031010336779,-768474.8583610377
-90.86362120706902,-766793.8521165616
-90.79693231077026,-765109.8932121224
-90.73024341447149,-763453.8146459605
-90.66355451817273,-761772.1533101025
-90.59686562187396,-760095.9582027204
-90.53017672557519,-758454.1528832754
-90.46348782927643,-756777.1271570873
-90.39679893297766,-755116.268134513
-90.33011003667889,-753454.2655616028
-90.26342114038013,-751815.0168972162
-90.19673224408136,-750162.7125110708
-90.13004334778259,-748497.4255324063
-90.06335445148383,-746851.1002548824
-89.99666555518506,-745205.7683378169
-89.92997665888629,-743561.7161447534
-89.86328776258753,-741929.0608999132
-89.79659886628876,-740283.3113866188
-89.72990996998999,-738646.787513253
-89.66322107369123,-737021.2217644586
-89.59653217739246,-735369.3660207741
-89.52984328109369,-733751.6954413624
-89.46315438479493,-732138.6172651352
-89.39646548849616,-730499.8402057199
-89.32977659219739,-728891.2991708297
-89.26308769589863,-727258.015629408
-89.19639879959986,-725638.2538567093
-89.1297099033011,-724039.6963417693
-89.06302100700233,-722413.4283032896
-88.99633211070356,-720808.2318816729
-88.9296432144048,-719197.7490726807
-88.86295431810603,-717584.3334635213
-88.79626542180726,-715999.042214726
